48 1128
4 41 463728
4 42 168083
4 43 798673
4 44 750160
4 45 187619
4 46 675780
4 47 535990
4 48 284378
5 6 532947
5 7 494593
5 8 419986
5 9 382360
5 10 201119
5 11 257263
5 12 315611
5 13 192309
5 14 157917
5 15 342633
5 16 317824
5 17 574834
5 18 479284
5 19 557698
5 20 340822
5 21 222225
5 22 306586
5 23 218429
5 24 185925
5 25 140011
5 26 249011
5 27 548528
5 28 503430
5 29 89306
5 30 514042
5 31 461053
5 32 166897
5 33 367697
5 34 158984
5 35 311201
5 36 468121
5 37 553270
5 38 435156
5 39 125133
5 40 322657
5 41 242557
5 42 116840
5 43 531208
5 44 470556
5 45 324071
5 46 396174
5 47 265096
5 48 30378
6 7 74282
6 8 320838
6 9 266916
6 10 692829
6 11 283010
6 12 226569
6 13 340650
6 14 385317
6 15 217732
6 16 407547
6 17 72600
6 18 88019
6 19 29257
6 20 192921
6 21 330931
6 22 367153
6 23 331412
6 24 619837
6 25 393180
6 26 774485
6 27 36486
6 28 48168
6 29 577395
6 30 26046
6 31 165819
6 32 451277
6 33 174595
6 34 443030
6 35 790941
6 36 76853
6 37 20611
6 38 222451
6 39 443407
6 40 268027
6 41 505225
6 42 638319
6 43 54960
6 44 122301
6 45 780417
6 46 166967
6 47 270387
6 48 522995
7 8 246729
7 9 195145
7 10 667258
7 11 237973
7 12 179435
7 13 305048
7 14 340489
7 15 160317
7 16 338132
7 17 146849
7 18 16791
7 19 101947
7 20 168016
7 21 310942
7 22 299299
7 23 282648
7 24 600884
7 25 355105
7 26 741124
7 27 110314
7 28 26692
7 29 529966
7 30 82032
7 31 91542
7 32 434747
7 33 126903
7 34 388992
7 35 769756
7 36 33104
7 37 89908
7 38 148308
7 39 418409
7 40 204811
7 41 441424
7 42 605072
7 43 121874
7 44 48127
7 45 763417
7 46 105332
7 47 243152
7 48 488360
8 9 71789
8 10 620236
8 11 224041
8 12 205041
8 13 291981
8 14 276164
8 15 168669
8 16 130375
8 17 393125
8 18 233034
8 19 348641
8 20 266853
8 21 348621
8 22 117467
8 23 225914
8 24 583901
8 25 314017
8 26 659520
8 27 356282
8 28 272700
8 29 411993
8 30 323916
8 31 155836
8 32 450663
8 33 208157
8 34 265792
8 35 730378
8 36 251105
8 37 336391
8 38 98422
8 39 409056
8 40 131898
8 41 254377
8 42 535746
8 43 363103
8 44 198604
8 45 739036
8 46 178476
8 47 287862
8 48 429521
9 10 578832
9 11 160148
9 12 134254
9 13 232967
9 14 229091
9 15 96974
9 16 145063
9 17 337516
9 18 179586
9 19 295800
9 20 195063
9 21 283451
9 22 111168
9 23 172476
9 24 534546
9 25 262759
9 26 628477
9 27 300666
9 28 219241
9 29 388850
9 30 266002
9 31 112145
9 32 391928
9 33 137176
9 34 239083
9 35 688296
9 36 192606
9 37 284439
9 38 61066
9 39 354210
9 40 67500
9 41 258932
9 42 499201
9 43 303811
9 44 148547
9 45 693326
9 46 111173
9 47 219533
9 48 387541
10 11 439146
10 12 494612
10 13 364793
10 14 350002
10 15 527325
10 16 518212
10 17 721562
10 18 653430
10 19 713965
10 20 502106
10 21 362022
10 22 507659
10 23 408916
10 24 92143
10 25 320664
10 26 113084
10 27 701321
10 28 671302
10 29 243640
10 30 670629
10 31 647680
10 32 247532
10 33 543157
10 34 359808
10 35 110173
10 36 637521
10 37 712071
10 38 628302
10 39 249695
10 40 515971
10 41 431791
10 42 93638
10 43 679460
10 44 650674
10 45 126788
10 46 577270
10 47 424864
10 48 191399
11 12 58543
11 13 76502
11 14 102896
11 15 88236
11 16 203967
11 17 335239
11 18 222357
11 19 309957
11 20 104816
11 21 124595
11 22 162440
11 23 50213
11 24 384036
11 25 119523
11 26 505300
11 27 304186
11 28 248755
11 29 294468
11 30 267571
11 31 208613
11 32 233030
11 33 111321
11 34 164986
11 35 545894
11 36 213174
11 37 303620
11 38 195775
11 39 199649
11 40 93094
11 41 251285
11 42 370028
11 43 292253
11 44 213690
11 45 545844
11 46 139380
11 47 71076
11 48 253355
12 13 129834
12 14 161194
12 15 40529
12 16 220715
12 17 282340
12 18 163823
12 19 254176
12 20 69373
12 21 158557
12 22 176655
12 23 104956
12 24 435647
12 25 176995
12 26 563243
12 27 249785
12 28 190692
12 29 351980
12 30 212707
12 31 155766
12 32 277779
12 33 53006
12 34 217089
12 35 600206
12 36 155110
12 37 247160
12 38 153754
12 39 250538
12 40 79004
12 41 291158
12 42 427665
12 43 240236
12 44 156344
12 45 598224
12 46 82675
12 47 89142
12 48 310868
13 14 64587
13 15 164102
13 16 244598
13 17 383915
13 18 290423
13 19 365445
13 20 148741
13 21 72989
13 22 209573
13 23 69650
13 24 307596
13 25 53207
13 26 436247
13 27 356620
13 28 312177
13 29 245286
13 30 321831
13 31 284183
13 32 159144
13 33 179092
13 34 147924
13 35 470534
13 36 277178
13 37 360962
13 38 272020
13 39 123179
13 40 165521
13 41 254931
13 42 300085
13 43 340236
13 44 285937
13 45 469600
13 46 212507
13 47 75531
13 48 183529
14 15 185206
14 16 202508
14 17 434858
14 18 324661
14 19 411822
14 20 199690
14 21 134022
14 22 175292
14 23 60512
14 24 307790
14 25 41880
14 26 406925
14 27 405116
14 28 351652
14 29 192225
14 30 368963
14 31 303137
14 32 186590
14 33 214141
14 34 83700
14 35 459256
14 36 316070
14 37 405907
14 38 278784
14 39 137942
14 40 166201
14 41 193136
14 42 273597
14 43 391416
14 44 313723
14 45 464642
14 46 239495
14 47 135057
14 48 159171
15 16 202824
15 17 280226
15 18 143731
15 19 246573
15 20 98523
15 21 198622
15 22 159211
15 23 125255
15 24 471568
15 25 207169
15 26 591472
15 27 245392
15 28 176364
15 29 370974
15 30 208167
15 31 120379
15 32 316374
15 33 49632
15 34 228677
15 35 634121
15 36 141880
15 37 237864
15 38 113346
15 39 286672
15 40 55324
15 41 288476
15 42 456889
15 43 240440
15 44 128816
15 45 633700
15 46 55470
15 47 129648
15 48 340559
16 17 475891
16 18 321997
16 19 436755
16 20 289939
16 21 315077
16 22 44104
16 23 176454
16 24 495946
16 25 244385
16 26 544244
16 27 439536
16 28 360911
16 29 293129
16 30 403393
16 31 257162
16 32 389095
16 33 252423
16 34 158960
16 35 627760
16 36 331269
16 37 426057
16 38 203269
16 39 339790
16 40 147514
16 41 124045
16 42 428654
16 43 438962
16 44 292754
16 45 641883
16 46 242713
16 47 274827
16 48 333640
17 18 160094
17 19 47661
17 20 235831
17 21 361643
17 22 434483
17 23 385094
17 24 643250
17 25 437120
17 26 809714
17 27 36927
17 28 120503
17 29 626638
17 30 72578
17 31 238391
17 32 475316
17 33 233416
17 34 499061
17 35 814780
17 36 145113
17 37 60804
17 38 294814
17 39 475164
17 40 333046
17 41 568663
17 42 674546
17 43 43679
17 44 194767
17 45 800407
17 46 233385
17 47 309757
17 48 561785
18 19 116472
18 20 156226
18 21 298718
18 22 282890
18 23 266526
18 24 588108
18 25 340027
18 26 726226
18 27 123251
18 28 39890
18 29 513739
18 30 92258
18 31 79335
18 32 422661
18 33 111677
18 34 372383
18 35 756482
18 36 28551
18 37 104882
18 38 134781
18 39 405013
18 40 188029
18 41 424712
18 42 590275
18 43 132159
18 44 35413
18 45 750784
18 46 88624
18 47 230107
18 48 473504
19 20 216943
19 21 351984
19 22 396407
19 23 358786
19 24 639227
19 25 418275
19 26 797604
19 27 20135
19 28 76618
19 29 604029
19 30 43759
19 31 193107
19 32 470572
19 33 202685
19 34 471009
19 35 810640
19 36 106084
19 37 13146
19 38 250220
19 39 465110
19 40 297191
19 41 534321
19 42 661615
19 43 48505
19 44 150066
19 45 798871
19 46 196176
19 47 293827
19 48 546887
20 21 142994
20 22 245922
20 23 154694
20 24 433275
20 25 201811
20 26 581624
20 27 207884
20 28 169389
20 29 390931
20 30 173243
20 31 181207
20 32 266731
20 33 65362
20 34 269314
20 35 602894
20 36 136551
20 37 212983
20 38 199011
20 39 252445
20 40 147347
20 41 354125
20 42 445424
20 43 192214
20 44 164090
20 45 595611
20 46 107017
20 47 77655
20 48 330125
21 22 277866
21 23 138622
21 24 290449
21 25 106168
21 26 448158
21 27 339701
21 28 311863
21 29 292119
21 30 308608
21 31 311423
21 32 123965
21 33 195286
21 34 217459
21 35 460662
21 36 279523
21 37 350070
21 38 311895
21 39 113560
21 40 217248
21 41 326778
21 42 313520
21 43 318811
21 44 302879
21 45 452636
21 46 235422
21 47 71072
21 48 204155
22 23 140099
22 24 478012
22 25 216503
22 26 542699
22 27 398381
22 28 321189
22 29 294535
22 30 361909
22 31 222364
22 32 360204
22 33 208844
22 34 149559
22 35 617780
22 36 290502
22 37 386058
22 38 171832
22 39 313107
22 40 103900
22 41 147863
22 42 421009
22 43 396819
22 44 255247
22 45 628908
22 46 201100
22 47 233515
22 48 318846
23 24 362070
23 25 90291
23 26 467435
23 27 353617
23 28 295319
23 29 247425
23 30 316802
23 31 242628
23 32 225371
23 33 157721
23 34 114784
23 35 517611
23 36 259784
23 37 352016
23 38 219387
23 39 183298
23 40 107302
23 41 205318
23 42 333973
23 43 342237
23 44 254034
23 45 521246
23 46 180094
23 47 107609
23 48 218919
24 25 271798
24 26 204170
24 27 625381
24 28 602312
24 29 256880
24 30 596546
24 31 591200
24 32 168658
24 33 480680
24 34 338318
24 35 171573
24 36 569816
24 37 638392
24 38 578664
24 39 185110
24 40 468671
24 41 428479
24 42 127188
24 43 602135
24 44 589171
24 45 162844
24 46 517727
24 47 358026
24 48 163822
25 26 386306
25 27 409689
25 28 363469
25 29 193112
25 30 374724
25 31 327323
25 32 144711
25 33 228349
25 34 116360
25 35 428531
25 36 328212
25 37 413564
25 38 308598
25 39 96663
25 40 197288
25 41 228490
25 42 250676
25 43 393441
25 44 333071
25 45 431155
25 46 258848
25 47 128334
25 48 133905
26 27 786596
26 28 748281
26 29 251445
26 30 753872
26 31 710062
26 32 344823
26 33 614572
26 34 393768
26 35 137448
26 36 713399
26 37 794395
26 38 683013
26 39 334870
26 40 570875
26 41 439614
26 42 136273
26 43 766690
26 44 718956
26 45 179753
26 46 644589
26 47 504099
26 48 252768
27 28 83811
27 29 597284
27 30 37306
27 31 201802
27 32 456818
27 33 199598
27 34 466866
27 35 796910
27 36 108436
27 37 30500
27 38 258015
27 39 453135
27 40 297531
27 41 533834
27 42 650851
27 43 28640
27 44 158066
27 45 784343
27 46 197326
27 47 283789
27 48 536806
28 29 542633
28 30 55798
28 31 118000
28 32 434886
28 33 137698
28 34 404321
28 35 772240
28 36 35588
28 37 65256
28 38 174337
28 39 421738
28 40 224067
28 41 461372
28 42 612032
28 43 95438
28 44 74268
28 45 764323
28 46 123081
28 47 246444
28 48 495679
29 30 561187
29 31 482301
29 32 254990
29 33 404943
29 34 149770
29 35 347553
29 36 507065
29 37 597997
29 38 446994
29 39 209560
29 40 338739
29 41 191005
29 42 150036
29 43 583087
29 44 499314
29 45 370355
29 46 426392
29 47 320812
29 48 119595
30 31 171588
30 32 427900
30 33 162307
30 34 429795
30 35 767843
30 36 73440
30 37 41954
30 38 226235
30 39 421589
30 40 260580
30 41 496635
30 42 617867
30 43 39954
30 44 127669
30 45 756662
30 46 160816
30 47 250067
30 48 503133
31 32 432943
31 33 117921
31 34 334597
31 35 754471
31 36 102210
31 37 180707
31 38 57763
31 39 406109
31 40 143757
31 41 369249
31 42 576224
31 43 211466
31 44 43947
31 45 753603
31 46 76256
31 47 240384
31 48 460286
32 33 318373
32 34 250942
32 35 340105
32 36 403096
32 37 469759
32 38 428057
32 39 53263
32 40 324431
32 41 361176
32 42 218630
32 43 433843
32 44 426451
32 45 329558
32 46 357563
32 47 194056
32 48 138096
33 34 268435
33 35 647412
33 36 102123
33 37 195114
33 38 134022
33 39 296204
33 40 104950
33 41 335791
33 42 478674
33 43 192571
33 44 108500
33 45 643522
33 46 42137
33 47 124390
33 48 361880
34 35 469665
34 36 369204
34 37 463544
34 38 297401
34 39 198079
34 40 190880
34 41 112316
34 42 271744
34 43 456475
34 44 354703
34 45 482970
34 46 283859
34 47 213928
34 48 175093
35 36 739213
35 37 809640
35 38 736905
35 39 351486
35 40 624852
35 41 537877
35 42 200051
35 43 773708
35 44 755557
35 45 46018
35 46 682835
35 47 526611
35 48 301248
36 37 96439
36 38 154173
36 39 388203
36 40 191239
36 41 428526
36 42 577185
36 43 112045
36 44 59976
36 45 732156
36 46 90126
36 47 212777
36 48 460708
37 38 237993
37 39 462817
37 40 287657
37 41 524964
37 42 658273
37 43 56985
37 44 137940
37 45 798599
37 46 186505
37 47 290318
37 48 543107
38 39 395154
38 40 112628
38 41 319694
38 42 551744
38 43 265736
38 44 100185
38 45 739462
38 46 95038
38 47 242879
38 48 437942
39 40 287210
39 41 307956
39 42 201152
39 43 432371
39 44 404582
39 45 347736
39 46 332704
39 47 175426
39 48 99964
40 41 237356
40 42 439162
40 43 294241
40 44 165875
40 45 628432
40 46 101166
40 47 156221
40 48 325372
41 42 338538
41 43 528347
41 44 399679
41 45 558407
41 46 338515
41 47 312440
41 48 266395
42 43 631358
42 44 583699
42 45 220415
42 46 509408
42 47 367954
42 48 116815
43 44 167572
43 45 760227
43 46 196381
43 47 266118
43 48 518323
44 45 752010
44 46 74385
44 47 232407
44 48 466973
45 46 680438
45 47 520762
45 48 310111
46 47 164350
46 48 392724
47 48 253102
